,Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class
USC,,,,,,-0.273855003691455,0.6388999711146437,-0.10217493306303851,0.0
EQT,,,,,,-0.16519177409092092,-1.1297571679733884,0.014590970754192075,3.0
QTUM,,,,,,-0.352140586805832,1.588955656812216,-0.10142652729092078,0.0
QRL,,,,,,-0.13529212928157228,-2.2180917040996513,0.46151820728477205,3.0
ESP,,,,,,0.5341250559383399,1.8945128137285219,-0.8457721228140993,0.0
DYN,,,,,,-0.14395886954481715,-2.3726085431544552,0.34564736665680706,3.0
NANO,,,,,,-0.04592887607818504,-2.1722173264001063,0.336245547031553,3.0
CHAN,,,,,,-0.13156772555569102,-2.185113132498325,0.6298431869680085,3.0
DCY,,,,,,0.3361721505714931,-2.304937380753828,0.38477838627272576,3.0
DNR,,,,,,-0.3604382081600064,1.4971274230357612,-0.569336748245234,0.0
DP,,,,,,-0.22730154410252448,-0.9102565854873103,0.02829366369811608,3.0
VUC,,,,,,-0.35894272571008895,1.497099373337659,-0.5693686475634979,0.0
BTPL,,,,,,-0.4434650950885935,1.9025397874587948,-0.7396264747595307,0.0
UNIFY,,,,,,-0.16551058769795685,-1.1297302214570863,0.014595068026040275,3.0
BRIT,,,,,,-0.2848137124332253,1.7744316460889877,-0.6072868652210676,0.0
SOCC,,,,,,-0.16527428173411177,-1.1297621160023656,0.01459356812904456,3.0
ARC,,,,,,-0.22769564255753566,-0.9102413062023966,0.028301053095366537,3.0
DAS,,,,,,-0.22827222432417318,-0.9102314302378599,0.028313472851895533,3.0
LINDA,,,,,,0.1264113345053707,1.0074379563799218,-0.5624411420336753,0.0
XLC,,,,,,0.3004996331983075,-2.304753834125245,0.38560189577616666,3.0
ONION,,,,,,-0.2848843834615399,1.7744372000862663,-0.6072859029372519,0.0
BTX,,,,,,-0.15725530020414813,-2.2505606051936438,0.43423712631606454,3.0
GCN,,,,,,3.2386565411881407,-1.1574718815122125,-0.06267261490486581,3.0
SMART,,,,,,-0.14231338012671865,-1.130614957791998,0.053202424953930606,3.0
SIGT,,,,,,-0.3306957188879167,1.3931676655786986,-0.12854599041575637,0.0
ONX,,,,,,-0.21915762889061763,-0.9106965342551433,0.028156977827674245,3.0
CRM,,,,,,-0.4429707797412365,1.9025565583268402,-0.7396403762792548,0.0
BCH,,,,,,-0.15295836302532456,-1.3054662133898625,0.14385922683849203,3.0
XMCC,,,,,,-0.4001926160557557,1.2470052323970835,-0.5402944726311799,0.0
DFT,,,,,,-0.2875883456592088,0.8147255000402567,-0.23142258563045784,0.0
VET,,,,,,4.36799237967349,2.9510295491242498,4.914711867781091,0.0
SOJ,,,,,,-0.09153630960782308,-1.1347272919725584,0.013482534027028455,3.0
STCN,,,,,,-0.34319786266900304,1.5018055757767677,-0.08811060117351978,0.0
NYC,,,,,,1.5783917448104072,-1.070550224141582,-0.034450086504762625,3.0
FRAZ,,,,,,-0.16560827923475357,-1.129734053876418,0.014597882166148771,3.0
KRONE,,,,,,-0.16506072106320754,-1.129761316690276,0.014588393302847466,3.0
ACC,,,,,,-0.16476215281320322,-1.1297626470446067,0.014581474232978663,3.0
LINX,,,,,,-0.16474910446744942,-1.129762204347276,0.014581107277275619,3.0
XCXT,,,,,,-0.33726354833603045,1.027484640616122,-0.5540140430502436,0.0
ETHD,,,,,,-0.337762475469887,1.027499265579225,-0.5540040797559492,0.0
SUMO,,,,,,0.3006829904965749,-2.304772602483927,0.3855999610265904,3.0
ODN,,,,,,-0.2858819800768793,1.5709690394371933,-0.10683433140539618,0.0
ADA,,,,,,0.6479362941233091,1.5723020776025451,-0.04772302300884003,0.0
REC,,,,,,-0.4001335189420189,1.2469947082245594,-0.5402945192639386,0.0
BTCZ,,,,,,0.035206883370282084,-2.0230693511512507,0.4849862565600229,3.0
TZC,,,,,,-0.34540367385549464,0.5167947884557561,-0.32092184716296707,0.0
ELM,,,,,,-0.18272953069808393,-0.9099619969580488,0.02719715912898767,3.0
TER,,,,,,-0.3377181488849436,1.0274925087045332,-0.5540042613127064,0.0
VIVO,,,,,,-0.1782456335274407,-1.640329559456339,0.2477847173278915,3.0
RUP,,,,,,-0.3242963859171343,0.7568112442848239,-0.029671424202112686,0.0
BTG,,,,,,-0.17665220979784452,-2.0152309600210754,0.4890070453024874,3.0
WOMEN,,,,,,0.43018596189845587,1.0356505400081721,-0.5732927185904048,0.0
MAY,,,,,,-0.32347111335856193,0.8517548955560766,-0.42478014292251853,0.0
NAMO,,,,,,-0.34522825562831866,1.4967911192958325,-0.5696546054094882,0.0
LUX,,,,,,-0.4073399536301485,1.7476375858279358,-0.4610984484812051,0.0
PIRL,,,,,,-0.14355120640863786,-2.1443608919819597,0.40519400181980086,3.0
XIOS,,,,,,-0.33766856165766823,1.027490418817089,-0.5540051695000274,0.0
BTDX,,,,,,-0.4173228389847384,1.7903771520764722,-0.5453629723398233,0.0
EBST,,,,,,-0.1639407633614435,-1.1297347793804062,0.01455837448152265,3.0
KEK,,,,,,-0.3450116710492606,1.3924027504490424,-0.05739716328379169,0.0
BLHC,,,,,,-0.3375391773999731,1.0274992576520383,-0.5540093817576625,0.0
XIN,,,,,,-0.10191602209470466,0.638430475224909,-0.1061977183218601,0.0
